x,y,z
-800,0,10
-800,0,20
-800,0,30
-800,0,40
-800,0,50
-800,0,60
-800,0,70
-800,0,75
-800,0,75.0
-790,0,41.671875
-780,0,9.1875
-770,0,-22.453125
-760,0,-53.25
-750,0,-83.203125
-740,0,-112.3125
-730,0,-140.578125
-720,0,-168.0
-710,0,-194.578125
-700,0,-220.3125
-690,0,-245.20312499999977
-680,0,-269.2499999999998
-670,0,-292.4531249999998
-660,0,-314.8124999999998
-650,0,-336.3281249999998
-640,0,-357.0
-630,0,-376.828125
-620,0,-395.8125
-610,0,-413.953125
-600,0,-431.25
-590,0,-447.703125
-580,0,-463.3125
-570,0,-478.078125
-560,0,-492.0
-550,0,-505.078125
-540,0,-517.3125
-530,0,-528.703125
-520,0,-539.25
-510,0,-548.953125
-500,0,-557.8125
-490,0,-565.8281249999999
-480,0,-572.9999999999999
-470,0,-579.3281249999999
-460,0,-584.8124999999999
-450,0,-589.453125
-440,0,-593.25
-430,0,-596.203125
-420,0,-598.3125
-410,0,-599.578125
-400,0,-600.0
-390,0,-599.578125
-380,0,-598.3125
-370,0,-596.203125
-360,0,-593.25
-350,0,-589.453125
-340,0,-584.8125
-330,0,-579.328125
-320,0,-573.0
-310,0,-565.828125
-300,0,-557.8125
-290,0,-548.953125
-280,0,-539.25
-270,0,-528.703125
-260,0,-517.3125
-250,0,-505.078125
-240,0,-492.0
-230,0,-478.078125
-220,0,-463.3125
-210,0,-447.703125
-200,0,-431.25
-190,0,-413.953125
-180,0,-395.8125
-170,0,-376.828125
-160,0,-357.0
-150,0,-336.328125
-140,0,-314.8125
-130,0,-292.453125
-120,0,-269.25
-110,0,-245.203125
-100,0,-220.3125
-90,0,-194.578125
-80,0,-168.0
-70,0,-140.578125
-60,0,-112.3125
-50,0,-83.203125
-40,0,-53.25
-30,0,-22.453125
-20,0,9.1875
-10,0,41.671875
0,0,10
0,0,20
0,0,30
0,0,40
0,0,50
0,0,60
0,0,70
0,0,75
-800,0,85
-800,0,95
-800,0,105
-800,0,115
-800,0,125
-800,0,135
-800,0,145
-800,0,150
-800,0,150.00000000000068
-790,0,116.86505190311459
-780,0,84.51903114186848
-770,0,52.96193771626326
-760,0,22.193771626298023
-750,0,-7.7854671280276815
-740,0,-36.9757785467125
-730,0,-65.37716262975732
-720,0,-92.98961937716263
-710,0,-119.81314878892704
-700,0,-145.8477508650517
-690,0,-171.09342560553614
-680,0,-195.55017301038038
-670,0,-219.21799307958463
-660,0,-242.09688581314845
-650,0,-264.1868512110723
-640,0,-285.48788927335613
-630,0,-305.9999999999998
-620,0,-325.7231833910032
-610,0,-344.65743944636665
-600,0,-362.80276816608966
-590,0,-380.1591695501727
-580,0,-396.72664359861574
-570,0,-412.5051903114186
-560,0,-427.494809688581
-550,0,-441.6955017301036
-540,0,-455.10726643598605
-530,0,-467.73010380622804
-520,0,-479.5640138408303
-510,0,-490.6089965397923
-500,0,-500.865051903114
-490,0,-510.33217993079563
-480,0,-519.0103806228373
-470,0,-526.8996539792386
-460,0,-533.9999999999998
-450,0,-540.311418685121
-440,0,-545.8339100346019
-430,0,-550.5674740484427
-420,0,-554.5121107266435
-410,0,-557.667820069204
-400,0,-560.0346020761243
-390,0,-561.6124567474048
-380,0,-562.4013840830448
-370,0,-562.4013840830448
-360,0,-561.6124567474048
-350,0,-560.0346020761244
-340,0,-557.667820069204
-330,0,-554.5121107266434
-320,0,-550.5674740484428
-310,0,-545.833910034602
-300,0,-540.311418685121
-290,0,-534.0
-280,0,-526.8996539792386
-270,0,-519.0103806228374
-260,0,-510.3321799307958
-250,0,-500.86505190311414
-240,0,-490.6089965397923
-230,0,-479.56401384083034
-220,0,-467.73010380622827
-210,0,-455.10726643598616
-200,0,-441.69550173010373
-190,0,-427.49480968858126
-180,0,-412.5051903114187
-170,0,-396.72664359861585
-160,0,-380.159169550173
-150,0,-362.8027681660899
-140,0,-344.6574394463667
-130,0,-325.72318339100343
-120,0,-306.0
-110,0,-285.48788927335636
-100,0,-264.1868512110726
-90,0,-242.0968858131488
-80,0,-219.21799307958474
-70,0,-195.5501730103806
-60,0,-171.0934256055363
-50,0,-145.84775086505186
-40,0,-119.81314878892732
-30,0,-92.98961937716263
-20,0,-65.37716262975778
-10,0,-36.9757785467128
0,0,-7.7854671280276815
10,0,22.193771626297575
20,0,52.96193771626297
30,0,84.51903114186851
40,0,116.86505190311419
50,0,85
50,0,95
50,0,105
50,0,115
50,0,125
50,0,135
50,0,145
50,0,150
-800,0,160
-800,0,170
-800,0,180
-800,0,190
-800,0,200
-800,0,210
-800,0,220
-800,0,225
-800,0,225.00000000000023
-790,0,192.03703703703718
-780,0,159.814814814815
-770,0,128.33333333333348
-760,0,97.5925925925924
-750,0,67.59259259259285
-740,0,38.3333333333335
-730,0,9.814814814814795
-720,0,-17.962962962963033
-710,0,-44.99999999999976
-700,0,-71.29629629629629
-690,0,-96.85185185185172
-680,0,-121.66666666666673
-670,0,-145.74074074074065
-660,0,-169.0740740740739
-650,0,-191.66666666666674
-640,0,-213.51851851851825
-630,0,-234.62962962962956
-620,0,-255.0
-610,0,-274.62962962962956
-600,0,-293.51851851851825
-590,0,-311.6666666666665
-580,0,-329.07407407407413
-570,0,-345.74074074074065
-560,0,-361.6666666666665
-550,0,-376.85185185185173
-540,0,-391.2962962962963
-530,0,-405.0
-520,0,-417.9629629629628
-510,0,-430.1851851851851
-500,0,-441.66666666666663
-490,0,-452.4074074074075
-480,0,-462.4074074074073
-470,0,-471.66666666666663
-460,0,-480.1851851851852
-450,0,-487.96296296296305
-440,0,-494.9999999999999
-430,0,-501.2962962962962
-420,0,-506.85185185185185
-410,0,-511.66666666666674
-400,0,-515.7407407407406
-390,0,-519.074074074074
-380,0,-521.6666666666667
-370,0,-523.5185185185185
-360,0,-524.6296296296297
-350,0,-525.0
-340,0,-524.6296296296297
-330,0,-523.5185185185185
-320,0,-521.6666666666665
-310,0,-519.074074074074
-300,0,-515.7407407407406
-290,0,-511.6666666666667
-280,0,-506.8518518518518
-270,0,-501.2962962962963
-260,0,-494.99999999999994
-250,0,-487.96296296296293
-240,0,-480.1851851851851
-230,0,-471.6666666666667
-220,0,-462.4074074074074
-210,0,-452.4074074074074
-200,0,-441.66666666666663
-190,0,-430.1851851851852
-180,0,-417.962962962963
-170,0,-405.0
-160,0,-391.29629629629625
-150,0,-376.85185185185185
-140,0,-361.66666666666663
-130,0,-345.7407407407407
-120,0,-329.0740740740741
-110,0,-311.66666666666663
-100,0,-293.5185185185185
-90,0,-274.6296296296296
-80,0,-255.0
-70,0,-234.62962962962962
-60,0,-213.51851851851848
-50,0,-191.66666666666663
-40,0,-169.07407407407408
-30,0,-145.74074074074073
-20,0,-121.66666666666666
-10,0,-96.85185185185185
0,0,-71.29629629629629
10,0,-45.0
20,0,-17.962962962962962
30,0,9.81481481481481
40,0,38.33333333333333
50,0,67.5925925925926
60,0,97.5925925925926
70,0,128.33333333333331
80,0,159.81481481481478
90,0,192.03703703703707
100,0,160
100,0,170
100,0,180
100,0,190
100,0,200
100,0,210
100,0,220
100,0,225
-800,0,235
-800,0,245
-800,0,255
-800,0,265
-800,0,275
-800,0,285
-800,0,295
-800,0,300
-800,0,300.0000000000002
-790,0,267.1911357340721
-780,0,235.08033240997244
-770,0,203.66759002770092
-760,0,172.95290858725772
-750,0,142.93628808864284
-740,0,113.61772853185605
-730,0,84.99722991689757
-720,0,57.07479224376763
-710,0,29.85041551246556
-700,0,3.3240997229918037
-690,0,-22.504155124653636
-680,0,-47.63434903047076
-670,0,-72.06648199445979
-660,0,-95.80055401662028
-650,0,-118.83656509695268
-640,0,-141.174515235457
-630,0,-162.81440443213276
-620,0,-183.75623268698044
-610,0,-203.9999999999998
-600,0,-223.54570637119085
-590,0,-242.3933518005538
-580,0,-260.5429362880884
-570,0,-277.99445983379496
-560,0,-294.74792243767297
-550,0,-310.80332409972266
-540,0,-326.1606648199444
-530,0,-340.81994459833777
-520,0,-354.78116343490296
-510,0,-368.04432132963984
-500,0,-380.6094182825484
-490,0,-392.47645429362854
-480,0,-403.6454293628807
-470,0,-414.11634349030453
-460,0,-423.88919667590017
-450,0,-432.9639889196674
-440,0,-441.3407202216065
-430,0,-449.0193905817174
-420,0,-455.9999999999999
-410,0,-462.28254847645417
-400,0,-467.86703601108024
-390,0,-472.753462603878
-380,0,-476.94182825484756
-370,0,-480.4321329639889
-360,0,-483.22437673130185
-350,0,-485.3185595567867
-340,0,-486.7146814404432
-330,0,-487.4127423822714
-320,0,-487.4127423822714
-310,0,-486.7146814404432
-300,0,-485.31855955678657
-290,0,-483.22437673130185
-280,0,-480.4321329639889
-270,0,-476.94182825484756
-260,0,-472.7534626038781
-250,0,-467.86703601108036
-240,0,-462.28254847645417
-230,0,-456.0
-220,0,-449.0193905817174
-210,0,-441.3407202216066
-200,0,-432.9639889196676
-190,0,-423.8891966759003
-180,0,-414.11634349030464
-170,0,-403.6454293628809
-160,0,-392.47645429362876
-150,0,-380.6094182825484
-140,0,-368.04432132963984
-130,0,-354.7811634349031
-120,0,-340.8199445983379
-110,0,-326.1606648199446
-100,0,-310.803324099723
-90,0,-294.7479224376731
-80,0,-277.99445983379496
-70,0,-260.54293628808864
-60,0,-242.393351800554
-50,0,-223.54570637119113
-40,0,-204.0
-30,0,-183.7562326869806
-20,0,-162.81440443213296
-10,0,-141.17451523545708
0,0,-118.83656509695291
10,0,-95.80055401662051
20,0,-72.06648199445983
30,0,-47.63434903047093
40,0,-22.50415512465375
50,0,3.32409972299169
60,0,29.85041551246536
70,0,57.07479224376732
80,0,84.99722991689751
90,0,113.61772853185593
100,0,142.93628808864267
110,0,172.9529085872576
120,0,203.6675900277008
130,0,235.08033240997227
140,0,267.1911357340721
25.0,0,260
25.0,0,270
25.0,0,280
25.0,0,290
25.0,0,300
25.0,0,310
25.0,0,320
25.0,0,325
-800,0,310
-800,0,320
-800,0,330
-800,0,340
-800,0,350
-800,0,360
-800,0,370
-800,0,375
-800.0,0,375.00000000000045
-790.0,0,328.90266299357245
-780.0,0,283.94398530762237
-770.0,0,240.1239669421493
-760.0,0,197.44260789715418
-750.0,0,155.8999081726356
-740.0,0,115.49586776859542
-730.0,0,76.2304866850327
-720.0,0,38.103764921947004
-710.0,0,1.1157024793392338
-700.0,0,-34.733700642791064
-690.0,0,-69.44444444444389
-680.0,0,-103.0165289256197
-670.0,0,-135.44995408631758
-660.0,0,-166.74471992653798
-650.0,0,-196.90082644628046
-640.0,0,-225.91827364554592
-630.0,0,-253.7970615243339
-620.0,0,-280.537190082644
-610.0,0,-306.138659320477
-600.0,0,-330.60146923783213
-590.0,0,-353.92561983471046
-580.0,0,-376.11111111111086
-570.0,0,-397.1579430670338
-560.0,0,-417.066115702479
-550.0,0,-435.83562901744676
-540.0,0,-453.46648301193704
-530.0,0,-469.95867768594985
-520.0,0,-485.31221303948564
-510.0,0,-499.5270890725435
-500.0,0,-512.6033057851239
-490.0,0,-524.5408631772266
-480.0,0,-535.3397612488518
-470.0,0,-544.9999999999998
-460.0,0,-553.52157943067
-450.0,0,-560.9044995408631
-440.0,0,-567.1487603305782
-430.0,0,-572.254361799816
-420.0,0,-576.2213039485765
-410.0,0,-579.0495867768593
-400.0,0,-580.7392102846646
-390.0,0,-581.2901744719924
-380.0,0,-580.7024793388426
-370.0,0,-578.9761248852157
-360.0,0,-576.111111111111
-350.0,0,-572.1074380165287
-340.0,0,-566.9651056014692
-330.0,0,-560.684113865932
-320.0,0,-553.2644628099172
-310.0,0,-544.7061524334249
-300.0,0,-535.0091827364552
-290.0,0,-524.1735537190082
-280.0,0,-512.1992653810835
-270.0,0,-499.0863177226811
-260.0,0,-484.8347107438017
-250.0,0,-469.44444444444434
-240.0,0,-452.91551882460953
-230.0,0,-435.24793388429737
-220.0,0,-416.4416896235077
-210.0,0,-396.4967860422405
-200.0,0,-375.4132231404958
-190.0,0,-353.1910009182735
-180.0,0,-329.8301193755739
-170.0,0,-305.33057851239664
-160.0,0,-279.6923783287418
-150.0,0,-252.91551882460953
-140.0,0,-224.99999999999994
-130.0,0,-195.94582185491277
-120.0,0,-165.75298438934794
-110.0,0,-134.4214876033057
-100.0,0,-101.951331496786
-90.0,0,-68.34251606978876
-80.0,0,-33.59504132231399
-70.0,0,2.2910927456382524
-60.0,0,39.315886134067995
-50.0,0,77.47933884297524
-40.0,0,116.78145087235998
-30.0,0,157.22222222222226
-20.0,0,198.801652892562
-10.0,0,241.51974288337925
0.0,0,285.37649219467403
10.0,0,330.3719008264463
20.0,0,376.50596877869606
25.0,0,335
25.0,0,345
25.0,0,355
25.0,0,365
25.0,0,375
25.0,0,385
25.0,0,395
25.0,0,400
-800,0,385
-800,0,395
-800,0,405
-800,0,415
-800,0,425
-800,0,435
-800,0,445
-800,0,450
-800,0,450.0000000000002
-790,0,402.62629757785476
-780,0,356.3875432525954
-770,0,311.28373702422164
-760,0,267.31487889273353
-750,0,224.48096885813155
-740,0,182.78200692041517
-730,0,142.21799307958443
-720,0,102.78892733564024
-710,0,64.49480968858168
-700,0,27.33564013840831
-690,0,-8.688581314878974
-680,0,-43.577854671280164
-670,0,-77.33217993079572
-660,0,-109.95155709342563
-650,0,-141.43598615916946
-640,0,-171.78546712802765
-630,0,-200.99999999999974
-620,0,-229.0795847750862
-610,0,-256.02422145328705
-600,0,-281.833910034602
-590,0,-306.5086505190311
-580,0,-330.04844290657456
-570,0,-352.45328719723193
-560,0,-373.72318339100366
-550,0,-393.85813148788907
-540,0,-412.85813148788907
-530,0,-430.72318339100343
-520,0,-447.4532871972317
-510,0,-463.04844290657434
-500,0,-477.5086505190311
-490,0,-490.83391003460224
-480,0,-503.0242214532873
-470,0,-514.0795847750865
-460,0,-524.0
-450,0,-532.7854671280277
-440,0,-540.4359861591695
-430,0,-546.9515570934257
-420,0,-552.3321799307959
-410,0,-556.5778546712803
-400,0,-559.6885813148788
-390,0,-561.6643598615916
-380,0,-562.5051903114187
-370,0,-562.2110726643599
-360,0,-560.7820069204151
-350,0,-558.2179930795847
-340,0,-554.5190311418685
-330,0,-549.6851211072665
-320,0,-543.7162629757786
-310,0,-536.6124567474047
-300,0,-528.3737024221452
-290,0,-519.0
-280,0,-508.4913494809689
-270,0,-496.8477508650518
-260,0,-484.0692041522491
-250,0,-470.1557093425606
-240,0,-455.1072664359863
-230,0,-438.92387543252596
-220,0,-421.6055363321799
-210,0,-403.1522491349481
-200,0,-383.5640138408304
-190,0,-362.84083044982697
-180,0,-340.9826989619377
-170,0,-317.9896193771626
-160,0,-293.86159169550183
-150,0,-268.59861591695505
-140,0,-242.2006920415225
-130,0,-214.6678200692041
-120,0,-186.00000000000003
-110,0,-156.19723183390997
-100,0,-125.25951557093421
-90,0,-93.1868512110726
-80,0,-59.97923875432528
-70,0,-25.636678200692046
-60,0,9.840830449826996
-50,0,46.453287197231845
-40,0,84.2006920415225
-30,0,123.08304498269896
-20,0,163.10034602076126
-10,0,204.25259515570934
0,0,246.53979238754326
10,0,289.961937716263
20,0,334.51903114186854
30,0,380.2110726643599
40,0,427.0380622837371
50,0,410
50,0,420
50,0,430
50,0,440
50,0,450
50,0,460
50,0,470
50,0,475
-800,0,460
-800,0,470
-800,0,480
-800,0,490
-800,0,500
-800,0,510
-800,0,520
-800,0,525
-800,0,525.0000000000002
-790,0,474.13840830449834
-780,0,424.49480968858114
-770,0,376.0692041522495
-760,0,328.861591695502
-750,0,282.87197231833915
-740,0,238.10034602076183
-730,0,194.54671280276824
-720,0,152.2110726643602
-710,0,111.09342560553631
-700,0,71.19377162629797
-690,0,32.51211072664381
-680,0,-4.951557093425265
-670,0,-41.197231833910166
-660,0,-76.22491349480953
-650,0,-110.03460207612471
-640,0,-142.62629757785436
-630,0,-173.99999999999983
-620,0,-204.15570934256021
-610,0,-233.09342560553642
-600,0,-260.8131487889271
-590,0,-287.3148788927336
-580,0,-312.598615916955
-570,0,-336.6643598615918
-560,0,-359.51211072664347
-550,0,-381.14186851211076
-540,0,-401.55363321799297
-530,0,-420.74740484429077
-520,0,-438.72318339100326
-510,0,-455.4809688581311
-500,0,-471.0207612456746
-490,0,-485.34256055363295
-480,0,-498.4463667820069
-470,0,-510.3321799307956
-460,0,-520.9999999999998
-450,0,-530.4498269896189
-440,0,-538.6816608996539
-430,0,-545.6955017301036
-420,0,-551.4913494809687
-410,0,-556.0692041522491
