ul_output,ur_output,ll_output,lr_output
612.52,-496.02,612.52,-496.02
612.56,-495.96,612.56,-495.96
612.63,-495.85,612.63,-495.85
612.74,-495.7,612.74,-495.7
612.87,-495.51,612.87,-495.51
613.03,-495.27,613.03,-495.27
613.21,-495.0,613.21,-495.0
613.32,-494.84,613.32,-494.84
613.32,-494.84,613.32,-494.84
604.62,-490.51,604.62,-490.51
596.26,-485.68,596.26,-485.68
588.21,-480.36,588.21,-480.36
580.45,-474.61,580.45,-474.61
572.96,-468.46,572.96,-468.46
565.72,-461.95,565.72,-461.95
558.7,-455.1,558.7,-455.1
551.9,-447.96,551.9,-447.96
545.29,-440.55,545.29,-440.55
538.85,-432.9,538.85,-432.9
532.56,-425.05,532.56,-425.05
526.4,-417.02,526.4,-417.02
520.37,-408.83,520.37,-408.83
514.43,-400.53,514.43,-400.53
508.58,-392.12,508.58,-392.12
502.8,-383.63,502.8,-383.63
497.07,-375.08,497.07,-375.08
491.37,-366.5,491.37,-366.5
485.7,-357.91,485.7,-357.91
480.04,-349.32,480.04,-349.32
474.38,-340.75,474.38,-340.75
468.7,-332.22,468.7,-332.22
462.99,-323.74,462.99,-323.74
457.25,-315.33,457.25,-315.33
451.45,-307.0,451.45,-307.0
445.59,-298.76,445.59,-298.76
439.67,-290.63,439.67,-290.63
433.66,-282.61,433.66,-282.61
427.56,-274.71,427.56,-274.71
421.37,-266.95,421.37,-266.95
415.07,-259.33,415.07,-259.33
408.66,-251.85,408.66,-251.85
402.13,-244.53,402.13,-244.53
395.48,-237.36,395.48,-237.36
388.71,-230.36,388.71,-230.36
381.8,-223.52,381.8,-223.52
374.75,-216.85,374.75,-216.85
367.57,-210.34,367.57,-210.34
360.24,-204.0,360.24,-204.0
352.77,-197.84,352.77,-197.84
345.15,-191.84,345.15,-191.84
337.39,-186.01,337.39,-186.01
329.48,-180.34,329.48,-180.34
321.42,-174.84,321.42,-174.84
313.22,-169.49,313.22,-169.49
304.88,-164.29,304.88,-164.29
296.4,-159.25,296.4,-159.25
287.78,-154.34,287.78,-154.34
279.03,-149.57,279.03,-149.57
270.15,-144.93,270.15,-144.93
261.14,-140.41,261.14,-140.41
252.03,-136.0,252.03,-136.0
242.8,-131.68,242.8,-131.68
233.47,-127.46,233.47,-127.46
224.05,-123.32,224.05,-123.32
214.54,-119.25,214.54,-119.25
204.96,-115.23,204.96,-115.23
195.32,-111.25,195.32,-111.25
185.63,-107.3,185.63,-107.3
175.9,-103.36,175.9,-103.36
166.14,-99.42,166.14,-99.42
156.38,-95.47,156.38,-95.47
146.62,-91.48,146.62,-91.48
136.88,-87.43,136.88,-87.43
127.18,-83.32,127.18,-83.32
117.54,-79.12,117.54,-79.12
107.97,-74.81,107.97,-74.81
98.5,-70.37,98.5,-70.37
89.14,-65.78,89.14,-65.78
79.93,-61.02,79.93,-61.02
70.88,-56.07,70.88,-56.07
62.01,-50.91,62.01,-50.91
53.35,-45.5,53.35,-45.5
44.94,-39.84,44.94,-39.84
36.78,-33.89,36.78,-33.89
28.92,-27.64,28.92,-27.64
21.38,-21.04,21.38,-21.04
14.19,-14.09,14.19,-14.09
7.39,-6.75,7.39,-6.75
0.02,0.02,0.02,0.02
0.07,0.07,0.07,0.07
0.16,0.16,0.16,0.16
0.28,0.28,0.28,0.28
0.44,0.44,0.44,0.44
0.64,0.64,0.64,0.64
0.87,0.87,0.87,0.87
0.99,0.99,0.99,0.99
613.55,-494.5,613.55,-494.5
613.81,-494.11,613.81,-494.11
614.1,-493.68,614.1,-493.68
614.42,-493.21,614.42,-493.21
614.77,-492.7,614.77,-492.7
615.15,-492.14,615.15,-492.14
615.56,-491.54,615.56,-491.54
615.77,-491.23,615.77,-491.23
615.77,-491.23,615.77,-491.23
606.36,-487.97,606.36,-487.97
597.29,-484.17,597.29,-484.17
588.55,-479.87,588.55,-479.87
580.11,-475.11,580.11,-475.11
571.95,-469.92,571.95,-469.92
564.06,-464.33,564.06,-464.33
556.42,-458.37,556.42,-458.37
549.0,-452.08,549.0,-452.08
541.8,-445.48,541.8,-445.48
534.8,-438.6,534.8,-438.6
527.97,-431.48,527.97,-431.48
521.3,-424.13,521.3,-424.13
514.77,-416.59,514.77,-416.59
508.37,-408.88,508.37,-408.88
502.08,-401.02,502.08,-401.02
495.89,-393.04,495.89,-393.04
489.79,-384.96,489.79,-384.96
483.75,-376.8,483.75,-376.8
477.76,-368.57,477.76,-368.57
471.82,-360.31,471.82,-360.31
465.9,-352.01,465.9,-352.01
460.01,-343.72,460.01,-343.72
454.11,-335.42,454.11,-335.42
448.21,-327.16,448.21,-327.16
442.29,-318.93,442.29,-318.93
436.34,-310.75,436.34,-310.75
430.36,-302.63,430.36,-302.63
424.32,-294.58,424.32,-294.58
418.23,-286.62,418.23,-286.62
412.08,-278.75,412.08,-278.75
405.85,-270.98,405.85,-270.98
399.54,-263.32,399.54,-263.32
393.14,-255.78,393.14,-255.78
386.66,-248.36,386.66,-248.36
380.07,-241.07,380.07,-241.07
373.37,-233.91,373.37,-233.91
366.57,-226.88,366.57,-226.88
359.66,-220.0,359.66,-220.0
352.63,-213.26,352.63,-213.26
345.47,-206.66,345.47,-206.66
338.2,-200.21,338.2,-200.21
330.8,-193.91,330.8,-193.91
323.27,-187.75,323.27,-187.75
315.62,-181.73,315.62,-181.73
307.83,-175.86,307.83,-175.86
299.93,-170.12,299.93,-170.12
291.89,-164.52,291.89,-164.52
283.73,-159.06,283.73,-159.06
275.45,-153.72,275.45,-153.72
267.04,-148.51,267.04,-148.51
258.52,-143.42,258.52,-143.42
249.89,-138.44,249.89,-138.44
241.14,-133.57,241.14,-133.57
232.3,-128.79,232.3,-128.79
223.35,-124.1,223.35,-124.1
214.32,-119.5,214.32,-119.5
205.2,-114.96,205.2,-114.96
196.0,-110.49,196.0,-110.49
186.74,-106.07,186.74,-106.07
177.42,-101.69,177.42,-101.69
168.05,-97.34,168.05,-97.34
158.64,-93.0,158.64,-93.0
149.2,-88.67,149.2,-88.67
139.76,-84.32,139.76,-84.32
130.31,-79.95,130.31,-79.95
120.88,-75.54,120.88,-75.54
111.47,-71.07,111.47,-71.07
102.11,-66.54,102.11,-66.54
92.81,-61.91,92.81,-61.91
83.58,-57.18,83.58,-57.18
74.45,-52.33,74.45,-52.33
65.44,-47.34,65.44,-47.34
56.56,-42.19,56.56,-42.19
47.83,-36.86,47.83,-36.86
39.28,-31.33,39.28,-31.33
30.94,-25.58,30.94,-25.58
22.81,-19.59,22.81,-19.59
14.93,-13.35,14.93,-13.35
7.32,-6.82,7.32,-6.82
0.01,0.01,0.01,0.01
-6.97,7.17,-6.97,7.17
-13.61,14.67,-13.61,14.67
-19.86,22.55,-19.86,22.55
-25.7,30.81,-25.7,30.81
-33.84,36.83,-33.84,36.83
-33.52,37.15,-33.52,37.15
-33.16,37.5,-33.16,37.5
-32.77,37.88,-32.77,37.88
-32.34,38.3,-32.34,38.3
-31.87,38.75,-31.87,38.75
-31.37,39.24,-31.37,39.24
-31.11,39.5,-31.11,39.5
616.22,-490.56,616.22,-490.56
616.7,-489.86,616.7,-489.86
617.21,-489.11,617.21,-489.11
617.74,-488.32,617.74,-488.32
618.31,-487.49,618.31,-487.49
618.91,-486.61,618.91,-486.61
619.53,-485.69,619.53,-485.69
619.85,-485.22,619.85,-485.22
619.85,-485.22,619.85,-485.22
609.74,-483.01,609.74,-483.01
599.97,-480.25,599.97,-480.25
590.54,-476.97,590.54,-476.97
581.43,-473.19,581.43,-473.19
572.61,-468.96,572.61,-468.96
564.07,-464.31,564.07,-464.31
555.8,-459.25,555.8,-459.25
547.77,-453.83,547.77,-453.83
539.97,-448.06,539.97,-448.06
532.39,-441.99,532.39,-441.99
525.0,-435.63,525.0,-435.63
517.8,-429.01,517.8,-429.01
510.76,-422.16,510.76,-422.16
503.87,-415.09,503.87,-415.09
497.12,-407.84,497.12,-407.84
490.49,-400.43,490.49,-400.43
483.97,-392.87,483.97,-392.87
477.54,-385.19,477.54,-385.19
471.2,-377.4,471.2,-377.4
464.92,-369.53,464.92,-369.53
458.7,-361.6,458.7,-361.6
452.53,-353.62,452.53,-353.62
446.39,-345.6,446.39,-345.6
440.27,-337.56,440.27,-337.56
434.17,-329.52,434.17,-329.52
428.06,-321.49,428.06,-321.49
421.95,-313.49,421.95,-313.49
415.81,-305.51,415.81,-305.51
409.65,-297.59,409.65,-297.59
403.46,-289.71,403.46,-289.71
397.22,-281.91,397.22,-281.91
390.92,-274.17,390.92,-274.17
384.57,-266.52,384.57,-266.52
378.16,-258.96,378.16,-258.96
371.67,-251.49,371.67,-251.49
365.1,-244.12,365.1,-244.12
358.45,-236.86,358.45,-236.86
351.71,-229.72,351.71,-229.72
344.88,-222.68,344.88,-222.68
337.96,-215.77,337.96,-215.77
330.93,-208.97,330.93,-208.97
323.8,-202.3,323.8,-202.3
316.56,-195.75,316.56,-195.75
309.22,-189.33,309.22,-189.33
301.77,-183.03,301.77,-183.03
294.21,-176.85,294.21,-176.85
286.53,-170.8,286.53,-170.8
278.75,-164.87,278.75,-164.87
270.85,-159.06,270.85,-159.06
262.85,-153.36,262.85,-153.36
254.74,-147.77,254.74,-147.77
246.52,-142.3,246.52,-142.3
238.2,-136.92,238.2,-136.92
229.78,-131.65,229.78,-131.65
221.26,-126.46,221.26,-126.46
212.65,-121.37,212.65,-121.37
203.96,-116.35,203.96,-116.35
195.18,-111.4,195.18,-111.4
186.33,-106.52,186.33,-106.52
177.41,-101.69,177.41,-101.69
168.43,-96.91,168.43,-96.91
159.4,-92.17,159.4,-92.17
150.32,-87.46,150.32,-87.46
141.2,-82.76,141.2,-82.76
132.07,-78.06,132.07,-78.06
122.91,-73.36,122.91,-73.36
113.76,-68.64,113.76,-68.64
104.61,-63.89,104.61,-63.89
95.48,-59.09,95.48,-59.09
86.39,-54.23,86.39,-54.23
77.35,-49.3,77.35,-49.3
68.37,-44.29,68.37,-44.29
59.47,-39.17,59.47,-39.17
50.67,-33.93,50.67,-33.93
41.98,-28.56,41.98,-28.56
33.42,-23.04,33.42,-23.04
25.02,-17.35,25.02,-17.35
16.78,-11.48,16.78,-11.48
8.73,-5.4,8.73,-5.4
0.9,0.9,0.9,0.9
-6.7,7.44,-6.7,7.44
-14.05,14.23,-14.05,14.23
-21.12,21.31,-21.12,21.31
-27.88,28.68,-27.88,28.68
-34.31,36.37,-34.31,36.37
-40.39,44.4,-40.39,44.4
-46.1,52.78,-46.1,52.78
-51.39,61.55,-51.39,61.55
-56.25,70.71,-56.25,70.71
-65.17,75.98,-65.17,75.98
-64.57,76.55,-64.57,76.55
-63.94,77.15,-63.94,77.15
-63.27,77.79,-63.27,77.79
-62.56,78.46,-62.56,78.46
-61.82,79.17,-61.82,79.17
-61.05,79.91,-61.05,79.91
-60.64,80.29,-60.64,80.29
620.52,-484.24,620.52,-484.24
621.21,-483.21,621.21,-483.21
621.94,-482.15,621.94,-482.15
622.69,-481.04,622.69,-481.04
623.47,-479.89,623.47,-479.89
624.29,-478.7,624.29,-478.7
625.13,-477.46,625.13,-477.46
625.56,-476.83,625.56,-476.83
625.56,-476.83,625.56,-476.83
614.75,-475.66,614.75,-475.66
604.31,-473.93,604.31,-473.93
594.2,-471.65,594.2,-471.65
584.42,-468.87,584.42,-468.87
574.94,-465.6,574.94,-465.6
565.76,-461.89,565.76,-461.89
556.85,-457.75,556.85,-457.75
548.21,-453.21,548.21,-453.21
539.81,-448.3,539.81,-448.3
531.63,-443.05,531.63,-443.05
523.68,-437.48,523.68,-437.48
515.92,-431.62,515.92,-431.62
508.35,-425.49,508.35,-425.49
500.95,-419.12,500.95,-419.12
493.71,-412.52,493.71,-412.52
486.62,-405.72,486.62,-405.72
479.66,-398.73,479.66,-398.73
472.81,-391.59,472.81,-391.59
466.07,-384.31,466.07,-384.31
459.43,-376.9,459.43,-376.9
452.86,-369.39,452.86,-369.39
446.37,-361.79,446.37,-361.79
439.93,-354.12,439.93,-354.12
433.55,-346.4,433.55,-346.4
427.2,-338.63,427.2,-338.63
420.88,-330.83,420.88,-330.83
414.57,-323.02,414.57,-323.02
408.28,-315.21,408.28,-315.21
401.98,-307.4,401.98,-307.4
395.68,-299.62,395.68,-299.62
389.36,-291.87,389.36,-291.87
383.01,-284.15,383.01,-284.15
376.63,-276.49,376.63,-276.49
370.21,-268.88,370.21,-268.88
363.74,-261.34,363.74,-261.34
357.23,-253.86,357.23,-253.86
350.65,-246.47,350.65,-246.47
344.01,-239.15,344.01,-239.15
337.3,-231.93,337.3,-231.93
330.51,-224.8,330.51,-224.8
323.65,-217.76,323.65,-217.76
316.71,-210.82,316.71,-210.82
309.68,-203.98,309.68,-203.98
302.56,-197.25,302.56,-197.25
295.36,-190.62,295.36,-190.62
288.06,-184.1,288.06,-184.1
280.67,-177.68,280.67,-177.68
273.18,-171.37,273.18,-171.37
265.6,-165.16,265.6,-165.16
257.92,-159.06,257.92,-159.06
250.14,-153.06,250.14,-153.06
242.28,-147.16,242.28,-147.16
234.31,-141.35,234.31,-141.35
226.26,-135.64,226.26,-135.64
218.11,-130.02,218.11,-130.02
209.88,-124.48,209.88,-124.48
201.56,-119.03,201.56,-119.03
193.16,-113.65,193.16,-113.65
184.69,-108.34,184.69,-108.34
176.15,-103.09,176.15,-103.09
167.53,-97.9,167.53,-97.9
158.86,-92.76,158.86,-92.76
150.13,-87.66,150.13,-87.66
141.36,-82.59,141.36,-82.59
132.55,-77.54,132.55,-77.54
123.7,-72.51,123.7,-72.51
114.83,-67.49,114.83,-67.49
105.95,-62.46,105.95,-62.46
97.06,-57.42,97.06,-57.42
88.18,-52.35,88.18,-52.35
79.32,-47.24,79.32,-47.24
70.48,-42.09,70.48,-42.09
61.69,-36.87,61.69,-36.87
52.95,-31.58,52.95,-31.58
44.28,-26.2,44.28,-26.2
35.7,-20.72,35.7,-20.72
27.21,-15.13,27.21,-15.13
18.84,-9.4,18.84,-9.4
10.59,-3.53,10.59,-3.53
2.5,2.5,2.5,2.5
-5.44,8.7,-5.44,8.7
-13.18,15.09,-13.18,15.09
-20.73,21.69,-20.73,21.69
-28.05,28.51,-28.05,28.51
-35.13,35.58,-35.13,35.58
-41.94,42.9,-41.94,42.9
-48.47,50.49,-48.47,50.49
-54.69,58.37,-54.69,58.37
-60.57,66.57,-60.57,66.57
-66.1,75.09,-66.1,75.09
-71.25,83.96,-71.25,83.96
-76.0,93.2,-76.0,93.2
-80.31,102.81,-80.31,102.81
-84.16,112.83,-84.16,112.83
-5.62,29.58,-5.62,29.58
-4.68,30.51,-4.68,30.51
-3.71,31.47,-3.71,31.47
-2.7,32.47,-2.7,32.47
-1.66,33.5,-1.66,33.5
-0.58,34.57,-0.58,34.57
0.53,35.67,0.53,35.67
1.1,36.23,1.1,36.23
626.44,-475.54,626.44,-475.54
627.35,-474.2,627.35,-474.2
628.29,-472.82,628.29,-472.82
629.26,-471.4,629.26,-471.4
630.26,-469.93,630.26,-469.93
631.28,-468.43,631.28,-468.43
632.34,-466.88,632.34,-466.88
632.88,-466.09,632.88,-466.09
632.88,-466.09,632.88,-466.09
620.09,-467.86,620.09,-467.86
608.0,-468.55,608.0,-468.55
596.56,-468.22,596.56,-468.22
585.75,-466.95,585.75,-466.95
575.51,-464.78,575.51,-464.78
565.82,-461.8,565.82,-461.8
556.64,-458.05,556.64,-458.05
547.94,-453.59,547.94,-453.59
539.67,-448.49,539.67,-448.49
531.81,-442.8,531.81,-442.8
524.32,-436.58,524.32,-436.58
517.17,-429.88,517.17,-429.88
510.32,-422.76,510.32,-422.76
503.75,-415.25,503.75,-415.25
497.42,-407.42,497.42,-407.42
491.31,-399.3,491.31,-399.3
485.38,-390.95,485.38,-390.95
479.61,-382.39,479.61,-382.39
473.97,-373.67,473.97,-373.67
468.43,-364.83,468.43,-364.83
462.98,-355.91,462.98,-355.91
457.58,-346.92,457.58,-346.92
452.22,-337.92,452.22,-337.92
446.87,-328.92,446.87,-328.92
441.5,-319.95,441.5,-319.95
436.11,-311.04,436.11,-311.04
430.68,-302.21,430.68,-302.21
425.18,-293.49,425.18,-293.49
419.59,-284.88,419.59,-284.88
413.91,-276.42,413.91,-276.42
408.12,-268.11,408.12,-268.11
402.21,-259.97,402.21,-259.97
396.15,-252.01,396.15,-252.01
389.96,-244.25,389.96,-244.25
383.6,-236.69,383.6,-236.69
377.08,-229.34,377.08,-229.34
370.38,-222.21,370.38,-222.21
363.51,-215.3,363.51,-215.3
356.44,-208.62,356.44,-208.62
349.19,-202.16,349.19,-202.16
341.75,-195.94,341.75,-195.94
334.11,-189.94,334.11,-189.94
326.27,-184.17,326.27,-184.17
318.24,-178.62,318.24,-178.62
310.01,-173.28,310.01,-173.28
301.6,-168.15,301.6,-168.15
292.99,-163.23,292.99,-163.23
284.21,-158.5,284.21,-158.5
275.25,-153.95,275.25,-153.95
266.12,-149.58,266.12,-149.58
256.84,-145.36,256.84,-145.36
247.41,-141.28,247.41,-141.28
237.84,-137.33,237.84,-137.33
228.15,-133.49,228.15,-133.49
218.35,-129.75,218.35,-129.75
208.47,-126.07,208.47,-126.07
198.51,-122.44,198.51,-122.44
188.5,-118.85,188.5,-118.85
178.45,-115.25,178.45,-115.25
168.39,-111.64,168.39,-111.64
158.35,-107.98,158.35,-107.98
148.35,-104.24,148.35,-104.24
138.41,-100.4,138.41,-100.4
128.57,-96.43,128.57,-96.43
118.85,-92.29,118.85,-92.29
109.3,-87.95,109.3,-87.95
99.93,-83.38,99.93,-83.38
90.8,-78.54,90.8,-78.54
81.93,-73.4,81.93,-73.4
73.36,-67.92,73.36,-67.92
65.15,-62.06,65.15,-62.06
57.32,-55.79,57.32,-55.79
49.92,-49.06,49.92,-49.06
43.01,-41.83,43.01,-41.83
36.62,-34.06,36.62,-34.06
30.81,-25.71,30.81,-25.71
25.63,-16.73,25.63,-16.73
21.12,-7.09,21.12,-7.09
17.35,3.26,17.35,3.26
14.36,14.36,14.36,14.36
12.21,26.26,12.21,26.26
10.97,39.0,10.97,39.0
2.27,37.38,2.27,37.38
3.47,38.57,3.47,38.57
4.71,39.79,4.71,39.79
5.98,41.04,5.98,41.04
7.28,42.33,7.28,42.33
8.62,43.65,8.62,43.65
10.0,45.01,10.0,45.01
10.7,45.7,10.7,45.7
633.97,-464.48,633.97,-464.48
635.1,-462.84,635.1,-462.84
636.26,-461.14,636.26,-461.14
637.44,-459.41,637.44,-459.41
638.65,-457.64,638.65,-457.64
639.89,-455.83,639.89,-455.83
641.16,-453.97,641.16,-453.97
641.8,-453.03,641.8,-453.03
641.8,-453.03,641.8,-453.03
627.9,-456.46,627.9,-456.46
614.74,-458.74,614.74,-458.74
602.29,-459.93,602.29,-459.93
590.5,-460.08,590.5,-460.08
579.34,-459.27,579.34,-459.27
568.78,-457.56,568.78,-457.56
558.77,-455.01,558.77,-455.01
549.29,-451.67,549.29,-451.67
540.29,-447.62,540.29,-447.62
531.74,-442.9,531.74,-442.9
523.61,-437.57,523.61,-437.57
515.87,-431.7,515.87,-431.7
508.47,-425.33,508.47,-425.33
501.39,-418.51,501.39,-418.51
494.6,-411.3,494.6,-411.3
488.06,-403.74,488.06,-403.74
481.75,-395.88,481.75,-395.88
475.64,-387.76,475.64,-387.76
469.7,-379.42,469.7,-379.42
463.9,-370.9,463.9,-370.9
458.22,-362.25,458.22,-362.25
452.63,-353.49,452.63,-353.49
447.11,-344.66,447.11,-344.66
441.63,-335.78,441.63,-335.78
436.17,-326.9,436.17,-326.9
430.72,-318.04,430.72,-318.04
425.25,-309.22,425.25,-309.22
419.74,-300.46,419.74,-300.46
414.18,-291.79,414.18,-291.79
408.55,-283.23,408.55,-283.23
402.83,-274.8,402.83,-274.8
397.01,-266.51,397.01,-266.51
391.07,-258.37,391.07,-258.37
385.01,-250.41,385.01,-250.41
378.81,-242.63,378.81,-242.63
372.46,-235.04,372.46,-235.04
365.95,-227.65,365.95,-227.65
359.28,-220.46,359.28,-220.46
352.43,-213.49,352.43,-213.49
345.41,-206.74,345.41,-206.74
338.21,-200.2,338.21,-200.2
330.82,-193.89,330.82,-193.89
323.24,-187.79,323.24,-187.79
315.47,-181.91,315.47,-181.91
307.51,-176.24,307.51,-176.24
299.37,-170.78,299.37,-170.78
291.04,-165.52,291.04,-165.52
282.53,-160.46,282.53,-160.46
273.84,-155.59,273.84,-155.59
264.98,-150.89,264.98,-150.89
255.96,-146.36,255.96,-146.36
246.79,-141.99,246.79,-141.99
237.48,-137.75,237.48,-137.75
228.03,-133.63,228.03,-133.63
218.46,-129.62,218.46,-129.62
208.8,-125.7,208.8,-125.7
199.04,-121.85,199.04,-121.85
189.21,-118.05,189.21,-118.05
179.33,-114.27,179.33,-114.27
169.43,-110.5,169.43,-110.5
159.51,-106.71,159.51,-106.71
149.6,-102.87,149.6,-102.87
139.74,-98.96,139.74,-98.96
129.94,-94.94,129.94,-94.94
120.24,-90.79,120.24,-90.79
110.66,-86.48,110.66,-86.48
101.25,-81.98,101.25,-81.98
92.02,-77.25,92.02,-77.25
83.02,-72.25,83.02,-72.25
74.28,-66.96,74.28,-66.96
65.84,-61.34,65.84,-61.34
57.75,-55.34,57.75,-55.34
50.04,-48.94,50.04,-48.94
42.76,-42.09,42.76,-42.09
35.95,-34.75,35.95,-34.75
29.66,-26.88,29.66,-26.88
23.95,-18.44,23.95,-18.44
18.85,-9.38,18.85,-9.38
14.43,0.32,14.43,0.32
10.72,10.72,10.72,10.72
7.8,21.87,7.8,21.87
5.7,33.79,5.7,33.79
4.5,46.54,4.5,46.54
4.23,60.16,4.23,60.16
-5.2,64.77,-5.2,64.77
-3.73,66.21,-3.73,66.21
-2.23,67.67,-2.23,67.67
-0.69,69.18,-0.69,69.18
0.88,70.71,0.88,70.71
2.49,72.28,2.49,72.28
4.13,73.88,4.13,73.88
4.97,74.7,4.97,74.7
643.11,-451.12,643.11,-451.12
644.45,-449.16,644.45,-449.16
645.82,-447.17,645.82,-447.17
647.22,-445.13,647.22,-445.13
648.64,-443.06,648.64,-443.06
650.09,-440.94,650.09,-440.94
651.57,-438.78,651.57,-438.78
652.32,-437.69,652.32,-437.69
652.32,-437.69,652.32,-437.69
636.96,-443.28,636.96,-443.28
622.46,-447.55,622.46,-447.55
608.77,-450.54,608.77,-450.54
595.86,-452.35,595.86,-452.35
583.69,-453.03,583.69,-453.03
572.2,-452.66,572.2,-452.66
561.37,-451.3,561.37,-451.3
551.15,-449.02,551.15,-449.02
541.5,-445.9,541.5,-445.9
532.39,-441.99,532.39,-441.99
523.76,-437.37,523.76,-437.37
515.59,-432.09,515.59,-432.09
507.83,-426.22,507.83,-426.22
500.45,-419.82,500.45,-419.82
493.41,-412.93,493.41,-412.93
486.68,-405.63,486.68,-405.63
480.22,-397.96,480.22,-397.96
474.01,-389.97,474.01,-389.97
468.0,-381.71,468.0,-381.71
462.17,-373.22,462.17,-373.22
456.49,-364.56,456.49,-364.56
450.92,-355.75,450.92,-355.75
445.45,-346.85,445.45,-346.85
440.04,-337.88,440.04,-337.88
434.66,-328.87,434.66,-328.87
429.31,-319.87,429.31,-319.87
